Crop;Reception Date;Mês Plantio;Ano;Field;Região;Sieve;Embryoless %;Precipitação (mm);Média Temp. (°C);Umidade (%)
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C3;13,2;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R4;7,3;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R1;0;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R3;2,5;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R3;1,2;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C2;3,3;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C1;0,2;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C1;0,1;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C3;16,7;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R4;7,9;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R3;2,2;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R3;0;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C2;3;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C2;2,9;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;R4;2,1;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C3;6,5;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C2;2,2;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C2;2,4;21;26;58
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R4;12,6;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C2;2,9;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R3;7,9;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C3;16,4;141;24;73
