Crop;Reception Date;Mês Plantio;Ano;Field;Região;Sieve;Embryoless %;Precipitação (mm);Média Temp. (°C);Umidade (%)
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R4;12,6;141,2;24,47177419;73,02016129
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C2;2,9;141,2;24,47177419;73,02016129
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R3;7,9;141,2;24,47177419;73,02016129
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C3;16,4;141,2;24,47177419;73,02016129
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R2;1,5;141,2;24,47177419;73,02016129
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C1;0,8;141,2;24,47177419;73,02016129
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C4;25,2;141,2;24,47177419;73,02016129
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;R2;0,4;141,2;24,47177419;73,02016129
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;R4;0,3;141,2;24,47177419;73,02016129
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;R5;1,7;141,2;24,47177419;73,02016129
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;C4;2,3;141,2;24,47177419;73,02016129
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;C2;0,4;141,2;24,47177419;73,02016129
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;C3;0,4;141,2;24,47177419;73,02016129
2019/2019;17/07/2019;Março;2019;196C128M19I;PARACATU;C2;3,9;141,2;24,47177419;73,02016129
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R2;3,8;73;24,38833333;72,59444444
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;C2;13,9;73;24,38833333;72,59444444
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;C1;2,6;73;24,38833333;72,59444444
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R3;17,3;73;24,38833333;72,59444444
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R1;0,4;73;24,38833333;72,59444444
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;C3;29,8;73;24,38833333;72,59444444
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R4;27,4;73;24,38833333;72,59444444
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C1;2,7;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R1;0,3;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R2;1,8;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R5;3,1;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C3;3,6;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C4;4;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R3;3;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R4;3,3;81,8;23,24569892;69,25672043
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C2;6,9;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R4;7,6;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;C3;19,8;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R2;4,4;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R3;13,7;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R1;0,3;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;C2;11,1;81,8;23,24569892;69,25672043
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;C1;1,2;81,8;23,24569892;69,25672043
2020/2020;17/06/2020;Fevereiro;2020;509U3M05320I;UBERLANDIA;C4;2,2;260;23,65833333;76,06896552
2020/2020;19/06/2020;Fevereiro;2020;511U3M05320I;UBERLANDIA;R5;0,5;260;23,65833333;76,06896552
2020/2020;19/06/2020;Fevereiro;2020;511U3M05320I;UBERLANDIA;C5;0,5;260;23,65833333;76,06896552
2020/2020;19/06/2020;Fevereiro;2020;510U3M05320I;UBERLANDIA;C5;0,3;260;23,65833333;76,06896552
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;C3;2,3;185,2;24,09731183;66,34543011
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;R2;0,5;185,2;24,09731183;66,34543011
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;R3;3,8;185,2;24,09731183;66,34543011
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;R4;2;185,2;24,09731183;66,34543011
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;C2;1,6;185,2;24,09731183;66,34543011
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;C1;0,2;185,2;24,09731183;66,34543011
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;C2;5,4;38,4;23,40666667;64,1375
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;R2;4,1;38,4;23,40666667;64,1375
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;C1;2,5;38,4;23,40666667;64,1375
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;R4;5,7;38,4;23,40666667;64,1375
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;R3;4,4;38,4;23,40666667;64,1375
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;C3;4;38,4;23,40666667;64,1375
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R4;3;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;C1;1,8;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R3;6,5;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R2;4,3;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;C2;3,9;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R1;0,6;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R5;11,4;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;C1;4,7;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;C3;5,2;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;C2;6;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R2;3,9;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R1;2;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R4;6,4;0;20,00672043;61,88709677
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R3;3,5;0;20,00672043;61,88709677
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R4;7,2;0;20,00672043;61,88709677
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R2;3,3;0;20,00672043;61,88709677
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;C2;10,9;0;20,00672043;61,88709677
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R3;13,6;0;20,00672043;61,88709677
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;C1;2;0;20,00672043;61,88709677
