Crop;Reception Date;Mês Plantio;Ano;Field;Região;Sieve;Embryoless %;Precipitação (mm);Média Temp. (°C);Umidade (%)
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C3;13,2;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R4;7,3;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R1;0;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R3;2,5;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R3;1,2;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C2;3,3;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C1;0,2;21;26,17889785;58,3172043
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C1;0,1;21;26,17889785;58,3172043
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C3;16,7;21;26,17889785;58,3172043
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R4;7,9;21;26,17889785;58,3172043
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R3;2,2;21;26,17889785;58,3172043
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R3;0;21;26,17889785;58,3172043
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C2;3;21;26,17889785;58,3172043
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C2;2,9;21;26,17889785;58,3172043
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;R4;2,1;21;26,17889785;58,3172043
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C3;6,5;21;26,17889785;58,3172043
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C2;2,2;21;26,17889785;58,3172043
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C2;2,4;21;26,17889785;58,3172043
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;C3;4,9;33;29,13680982;46,87730061
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;R4;1,8;33;29,13680982;46,87730061
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;C2;1,3;33;29,13680982;46,87730061
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;C1;0,3;33;29,13680982;46,87730061
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;R3;1,5;33;29,13680982;46,87730061
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;R2;0,2;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R1;0;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;C1;0;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R4;2,3;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R3;1,3;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;C3;3,1;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;C2;0,8;33;29,13680982;46,87730061
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R2;0,2;33;29,13680982;46,87730061
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C1;0,4;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R3;2,5;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C4;4,4;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R5;1,7;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R4;4,2;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R1;0,3;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C3;5,7;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C2;3,4;44;26,70830769;59,12307692
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R2;0,3;44;26,70830769;59,12307692
